,dish,rating,times_mentioned
0,beef noodle soup,0.16569680633375575,73
1,chicken satay,-0.1535697955871849,393
2,sea bass,0.0409819663839922,122
3,crab cake,0.08650999149659865,28
4,chicken,-0.1736261834130431,6956
5,pumpkin curry,0.20085001200735172,683
6,tom ka,0.18212392214117046,198
7,puff,0.2253425426774483,106
8,coconut,0.1728376664583681,1463
9,cashew nut,0.004858483961658573,63
10,fried banana,0.23581040498018985,357
11,fish cakes,0.11712897087674021,89
12,pad kee mao,0.12822106086220936,516
13,pad see you,0.0868273258377425,36
14,money bag,0.12879960317460318,12
15,fish cake,0.13042648858766503,150
16,basa fillet,0.2344642857142857,7
17,massamam,,0
18,spring roll,0.17213457066559854,683
19,rolls,0.16685819749921163,1268
20,fried rice,0.09836033112680644,2140
21,sticky rice,0.16446729609875202,738
22,pork belly,0.11211391273758209,247
23,yellow curry,0.059270569114312374,817
24,roast duck,0.1743172658596183,151
25,egg roll,0.09656450877816819,237
26,noodle soup,0.13807382907464447,633
27,samosa,0.2000506477523882,158
28,crab,0.15218516384372174,687
29,chicken noodle,-0.22163354330720939,73
30,egg rolls,0.09790191810110041,199
31,imperial roll,0.17398674936174938,55
32,volcanic beef,0.31556971731971734,26
33,silver noodle,0.11073201596530083,86
34,pineapple fried rice,0.12026453693924108,525
35,larb,0.11685662501683522,302
36,peanut sauce,0.1449671228815937,619
37,thai iced coffee,0.1937918194621598,64
38,papaya,0.14872819610219656,849
39,curry,0.11548398031348649,7039
40,beef,0.09962868024765618,2034
41,tofu,0.11910798211388343,1736
42,basil,0.09784562588705965,1351
43,roasted duck,0.12733608899393842,127
44,coconut ice cream,0.2841383058905381,176
45,green curry,0.0002851739958638196,1107
46,beef noodle,0.14545064533482752,95
47,wings,0.0957193049931717,891
48,drunken noodles,0.15211459581121042,96
49,money bags,0.12173280423280425,9
50,pad kee mow,0.24554773351648349,56
51,fried prawn,0.1816344246031746,12
52,panang curry,0.1742481209355018,300
53,mango salad,0.17878859169930597,98
54,tom kha,0.13886505142850836,447
55,salad,0.15721755019947128,2463
56,lamb,0.21996249268872628,207
57,bbq pork,0.10702766106442575,85
58,satay,-0.05343733581308729,694
59,ribs,0.10846099957261242,227
60,pork,0.10482663377199576,1474
61,prawns,0.11597443158833155,558
62,corn cakes,0.21709303923589632,77
63,pad see ew,0.12385124124317558,1086
64,tom yum,0.1485416874339665,915
65,fried egg,0.06322228986291487,88
66,tuna tower,0.33928391053391055,22
67,quail,0.19006698162948163,24
68,spring rolls,0.17548482609908378,592
69,thai iced tea,0.2325214036270905,698
70,pad cha,-0.6,1
71,angel wings,0.16391728075232032,348
72,panang beef,0.09898593564409887,49
73,roti,0.1922951801576763,963
74,shrimp,0.09906868852346382,1551
75,fried chicken,-0.20410081297332378,274
76,pad thai,0.12588021306738756,4150
77,chicken noodle soup,-0.23241984605306973,52
78,catfish,0.12044900509613658,188
79,seafood,0.1754531318055556,571
80,salmon,0.1714641929197324,306
81,papaya salad,0.15138779649714576,797
82,calamari,0.16927610380183777,347
83,imperial rolls,0.1802622717117398,47
84,eggplant,0.10181701962567268,857
85,fried prawns,0.0998181216931217,9
86,mango,0.19795919788789212,1055
87,noodles,0.12564915000421334,2655
